sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tumor_or_normal	tissue_id	DOI	sample_read_count	mapped_rpm
IC338	HPV6	7996	1132	0	7924	0.991	Tumor	Anal	10.3390/cancers11121846	1107905	1021.74825458862
IC089	HPV16	7906	1771	0	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	11248	157450.213371266
IC089	HPV18	7857	3010	0	7422	0.945	Tumor	Cervical	10.1038/s41416-020-01153-4	11248	267603.129445235
IC089	HPV45	7858	2	0	159	0.02	Tumor	Cervical	10.1038/s41416-020-01153-4	11248	177.809388335704
IC089	HPV59	7896	1	0	150	0.019	Tumor	Cervical	10.1038/s41416-020-01153-4	11248	88.9046941678521
IC141	HPV16	7906	48029	154	7907	1	Tumor	Anal	10.3390/cancers11121846	70226	683920.485290348
IC141	HPV35	7879	16	0	1351	0.171	Tumor	Anal	10.3390/cancers11121846	70226	227.8358442742
IC141	HPV18	7857	5	0	637	0.081	Tumor	Anal	10.3390/cancers11121846	70226	71.1987013356876
IC249	HPV16	7906	35812	414	7907	1	Tumor	Anal	10.3390/cancers11121846	61313	584084.941203334
IC249	HPV18	7857	21	0	2016	0.257	Tumor	Anal	10.3390/cancers11121846	61313	342.504852152072
IC249	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	8	0	785	0.099	Tumor	Anal	10.3390/cancers11121846	61313	130.478038915075
IC249	HPV6	7996	5	0	662	0.083	Tumor	Anal	10.3390/cancers11121846	61313	81.5487743219219
IC285	HPV16	7906	1438	0	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	158200	9089.7597977244
IC285	HPV59	7896	164	0	7478	0.947	Tumor	Cervical	10.1038/s41416-020-01153-4	158200	1036.66245259166
IC285	HPV45	7858	9455	207	6458	0.822	Tumor	Cervical	10.1038/s41416-020-01153-4	158200	59766.1188369153
IC285	HPV52	7942	40	0	3552	0.447	Tumor	Cervical	10.1038/s41416-020-01153-4	158200	252.844500632111
IC285	HPV42	7917	29	0	2672	0.338	Tumor	Cervical	10.1038/s41416-020-01153-4	158200	183.312262958281
