Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Aug 16 01:14:30	Aug 16 01:23:10	Aug 16 02:29:29	89.53	98953921	202	83833416	84.72%	195.70	45832569	45143082	45404033	327332	46681	54523	1.01%	0.00%	1.50	0.01%	1.60	3964016	4.01%	31458	0.03%	222628	0.22%	10881162	11.00%	21241	0.02%	0	0.00%
Aug 16 01:05:06	Aug 16 01:12:32	Aug 16 02:43:56	83.83	127697781	202	103511673	81.06%	195.61	64531648	63561948	63921357	461589	66988	81714	0.99%	0.00%	1.47	0.01%	1.55	5240331	4.10%	30498	0.02%	272524	0.21%	18617107	14.58%	25648	0.02%	0	0.00%
Aug 16 01:14:01	Aug 16 01:22:02	Aug 16 02:37:14	87.22	109317725	202	91076869	83.31%	195.78	49294306	48278398	48782045	410978	45719	55564	1.02%	0.01%	1.45	0.01%	1.60	4220017	3.86%	48633	0.04%	263621	0.24%	13666140	12.50%	42445	0.04%	0	0.00%
Aug 15 23:11:08	Aug 15 23:19:46	Aug 16 00:16:25	98.59	93084156	202	82277357	88.39%	199.51	43779065	43245413	43356763	334977	40402	46923	0.69%	0.01%	1.47	0.01%	1.49	4278058	4.60%	19794	0.02%	57669	0.06%	6442952	6.92%	8326	0.01%	0	0.00%
Aug 16 01:38:25	Aug 16 01:46:06	Aug 16 03:10:03	85.58	119735568	202	98167941	81.99%	195.70	59680254	59062540	59124486	432136	57101	66531	1.02%	0.00%	1.46	0.00%	1.57	4273589	3.57%	34750	0.03%	246695	0.21%	16980793	14.18%	31800	0.03%	0	0.00%
Aug 16 00:28:29	Aug 16 00:36:59	Aug 16 01:35:04	92.31	89356682	202	78288781	87.61%	199.34	48856195	48321660	48313482	365931	57279	119503	0.72%	0.00%	1.61	0.01%	1.56	4336121	4.85%	29792	0.03%	51349	0.06%	6635565	7.43%	15074	0.02%	0	0.00%
Aug 16 01:57:23	Aug 16 02:05:38	Aug 16 03:15:20	96.49	112088053	202	100134728	89.34%	200.08	59457279	58652915	58867686	471621	55198	62774	0.46%	0.01%	1.43	0.01%	1.58	4828818	4.31%	51878	0.05%	77671	0.07%	6958928	6.21%	36030	0.03%	0	0.00%
Aug 15 21:51:36	Aug 15 22:02:22	Aug 15 22:43:35	105.19	72256557	202	66495171	92.03%	200.02	37462353	36904792	37077281	311600	33885	39587	0.56%	0.01%	1.75	0.01%	1.60	2224424	3.08%	20036	0.03%	26743	0.04%	3479988	4.82%	10195	0.01%	0	0.00%
Aug 16 00:40:45	Aug 16 00:48:55	Aug 16 02:05:25	82.04	104600703	202	87876622	84.01%	195.78	55404399	54407652	54925491	375240	49546	54122	1.00%	0.00%	1.47	0.01%	1.62	4736670	4.53%	33447	0.03%	354544	0.34%	11583420	11.07%	16000	0.02%	0	0.00%
Aug 16 00:20:14	Aug 16 00:25:59	Aug 16 01:24:12	88.14	85515809	202	72741303	85.06%	199.06	48558526	44853041	48147942	319619	44142	46823	0.78%	0.01%	1.39	0.01%	1.52	4699767	5.50%	25576	0.03%	355615	0.42%	7673374	8.97%	20174	0.02%	0	0.00%
Aug 16 01:38:57	Aug 16 01:47:31	Aug 16 02:40:09	98.41	86331179	202	77344134	89.59%	200.08	46297623	45756790	45832773	377314	45254	42282	0.51%	0.01%	1.60	0.01%	1.51	2979072	3.45%	28032	0.03%	28475	0.03%	5932372	6.87%	19094	0.02%	0	0.00%
