Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Jul 30 22:12:09	Jul 30 22:19:44	Jul 31 00:23:36	75.81	156510352	150	86525587	55.28%	138.76	28677347	27698888	28392918	217085	13758	53586	0.78%	0.01%	1.26	0.01%	1.27	12079909	7.72%	81070	0.05%	126770	0.08%	57505982	36.74%	191034	0.12%	0	0.00%
Jul 30 19:03:18	Jul 30 19:13:25	Jul 30 20:44:12	75.92	114876405	150	65689874	57.18%	138.61	22530906	22039184	22341974	145333	10674	32925	0.87%	0.01%	1.26	0.01%	1.25	5740608	5.00%	102369	0.09%	118615	0.10%	43211478	37.62%	13461	0.01%	0	0.00%
Jul 30 17:56:12	Jul 30 18:05:58	Jul 30 19:28:24	80.83	111051976	150	67836883	61.09%	140.89	18750247	18175633	18581211	137730	8837	22469	0.85%	0.01%	1.26	0.01%	1.29	6919357	6.23%	42085	0.04%	90137	0.08%	36148992	32.55%	14522	0.01%	0	0.00%
Jul 30 18:51:18	Jul 30 19:00:08	Jul 30 20:49:22	76.37	139038703	150	79928767	57.49%	140.09	20358562	19822061	20172271	149927	10942	25422	0.89%	0.01%	1.31	0.01%	1.27	9232150	6.64%	68018	0.05%	104116	0.07%	49676059	35.73%	29593	0.02%	0	0.00%
Jul 30 18:20:50	Jul 30 18:31:38	Jul 30 19:51:28	76.99	102444915	150	56490735	55.14%	138.58	16071512	15609154	15920687	119383	9752	21690	0.97%	0.01%	1.28	0.01%	1.25	4597373	4.49%	58417	0.06%	83966	0.08%	41191171	40.21%	23253	0.02%	0	0.00%
Jul 30 16:36:21	Jul 30 16:48:09	Jul 30 18:07:04	68.40	89958491	150	45866225	50.99%	138.43	11038706	10631933	10928292	90054	5423	14937	0.93%	0.01%	1.26	0.01%	1.26	6259923	6.96%	62814	0.07%	125712	0.14%	37615638	41.81%	28179	0.03%	0	0.00%
Jul 30 19:05:23	Jul 30 19:16:21	Jul 30 20:47:07	73.83	111684095	150	56538134	50.62%	137.18	12649341	12130723	12504675	119037	6892	18737	0.84%	0.01%	1.28	0.01%	1.27	5525505	4.95%	54782	0.05%	128483	0.12%	49381524	44.22%	55667	0.05%	0	0.00%
Jul 30 19:16:26	Jul 30 19:25:23	Jul 30 20:50:27	80.32	113870229	150	69623609	61.14%	141.70	16324750	15685647	16158048	140450	9139	17113	0.94%	0.01%	1.28	0.01%	1.29	6368846	5.59%	42439	0.04%	115847	0.10%	37702649	33.11%	16839	0.01%	0	0.00%
Jul 30 16:58:23	Jul 30 17:08:10	Jul 30 18:00:02	107.55	92973391	202	86179601	92.69%	200.60	31357346	30750847	31075933	217914	27525	35974	0.26%	0.01%	1.16	0.01%	1.41	4197309	4.51%	27029	0.03%	134963	0.15%	2422762	2.61%	11727	0.01%	0	0.00%
Jul 30 19:45:02	Jul 30 19:56:24	Jul 30 20:33:11	97.25	59619531	202	53138184	89.13%	198.69	23000259	22658423	22803748	137600	20256	38655	0.88%	0.01%	1.45	0.01%	1.46	2178332	3.65%	25526	0.04%	41288	0.07%	4227858	7.09%	8343	0.01%	0	0.00%
Jul 30 18:05:54	Jul 30 18:16:45	Jul 30 18:42:39	103.97	44882026	202	42374599	94.41%	200.59	24701530	24296453	24491017	161075	22720	26718	0.31%	0.01%	1.22	0.01%	1.36	1909128	4.25%	7728	0.02%	41912	0.09%	544793	1.21%	3866	0.01%	0	0.00%
Jul 30 18:36:03	Jul 30 18:46:27	Jul 30 19:31:46	97.64	73746717	206	66028247	89.53%	202.33	30785599	30274018	30512544	187676	36481	48898	0.89%	0.01%	1.35	0.01%	1.49	2657244	3.60%	19351	0.03%	57914	0.08%	4974970	6.75%	8991	0.01%	0	0.00%
Jul 30 21:00:21	Jul 30 21:05:09	Jul 30 22:57:49	102.04	191605594	202	169906882	88.68%	200.18	78554947	77354236	77974294	440491	49190	90972	0.61%	0.01%	1.35	0.01%	1.48	5754348	3.00%	29072	0.02%	234232	0.12%	15383658	8.03%	297402	0.16%	0	0.00%
Jul 30 19:09:45	Jul 30 19:20:57	Jul 30 20:02:55	100.52	70308229	200	63975479	90.99%	197.26	25625470	24940645	25395283	175826	20562	33799	0.66%	0.01%	1.36	0.01%	1.61	2587480	3.68%	22101	0.03%	75332	0.11%	3638649	5.18%	9188	0.01%	0	0.00%
Jul 30 18:36:24	Jul 30 18:46:55	Jul 30 19:34:38	96.28	76572133	206	66959997	87.45%	202.01	21120360	20739391	20922230	155311	20007	22812	0.96%	0.01%	1.48	0.01%	1.37	2656005	3.47%	19942	0.03%	58025	0.08%	6870483	8.97%	7681	0.01%	0	0.00%
